book,chapters
Genesis,120
Exodus,185
Leviticus,64
Numbers,53
Deuteronomy,30
Joshua,15
Judges,10
Ruth,8
1 and 2 Samuel,38
1 & 2 Kings,23
1 & 2 Chronicles,13
Ezra,5
Nehemiah,5
Esther,2
Job,38
Psalms,45
Proverbs,8
Ecclesiastes,2
Song of Songs,10
Isaiah,54
Jeremiah,40
Lamentations,4
Ezekiel,27
Daniel,17
the Minor Prophets,35
Zechariah,15
Matthew,72
Mark,70
Luke,79
John,51
Acts,72
Romans,69
1 Corinthians,69
2 Corinthians,59
Galatians,46
Ephesians,97
Philippians,62
Colossians,65
1 Thessalonians,24
2 Thessalonians,7
1 Timothy,12
2 Timothy,8
Titus,6
Philemon,2
Hebrews,69
James,14
1 Peter,34
2 Peter,13
1 John,40
2 John,2
3 John,2
Jude,5
Revelation,68
